Time   0.013566
x	y	imag	real	abs
0	0	1.73675	-1.49713	2.29297
0	0.015	1.90172	-0.92795	2.11604
0	0.03	-3.21231	3.1336	4.48758
0	0.045	-4.16148	0.592554	4.20345
0	0.06	1.10798	2.63554	2.85897
0	0.075	2.65999	-1.22216	2.92732
0	0.09	-0.14343	1.57633	1.58284
0	0.105	0.966214	0.0778473	0.969345
0	0.12	-0.523598	-0.973417	1.1053
0	0.135	1.31211	-0.359629	1.3605
0	0.15	-0.762098	-1.54181	1.71988
0	0.165	-3.10559	1.24639	3.34637
0	0.18	2.26495	3.00325	3.76158
0	0.195	2.19486	0.754871	2.32104
0	0.21	0.107233	-2.06257	2.06535
0	0.225	-1.21977	-1.25378	1.74922
0	0.24	0.825592	1.52416	1.7334
0	0.255	-0.362289	-0.347243	0.501828
0	0.27	-1.25593	-1.32601	1.82638
0	0.285	1.47461	0.336114	1.51243
0	0.3	-0.49975	1.42617	1.51119
0	0.315	-1.29881	0.475458	1.38311
0	0.33	1.48696	-1.78824	2.3257
0	0.345	0.452784	-0.166025	0.482263
0	0.36	-1.78379	1.82297	2.55051
0	0.375	-0.801512	-0.846835	1.166
0	0.39	1.45191	-1.04481	1.78876
0	0.405	0.445369	0.767351	0.887232
0	0.42	-1.66583	0.789481	1.84344
0	0.435	0.168682	-0.0295749	0.171255
0	0.45	2.09313	-0.890454	2.27467
0	0.465	-0.74224	-0.232038	0.777664
0	0.48	-2.05469	0.764109	2.19217
0	0.495	1.4475	-0.371426	1.4944
0	0.51	1.54742	-0.88772	1.78397
0	0.525	-1.50732	1.33534	2.01374
0	0.54	-0.546011	0.24495	0.598439
0	0.555	0.905641	-1.88129	2.08793
0	0.57	0.644905	0.284562	0.704896
0	0.585	-0.396815	1.82206	1.86477
0	0.6	-1.35796	-0.384888	1.41145
0	0.615	0.791305	-1.77111	1.93985
0	0.63	1.85018	0.548765	1.92985
0	0.645	-1.43204	1.54335	2.10539
0	0.66	-1.93464	-0.715369	2.06267
0	0.675	1.70404	-0.708635	1.84551
0	0.69	1.55803	0.793017	1.74824
0	0.705	-1.33921	-0.0306223	1.33956
0	0.72	-0.962866	-0.926226	1.33604
0	0.735	0.687001	0.207837	0.717752
0	0.75	0.442055	1.0621	1.15042
0	0.765	-0.399481	-0.207661	0.450231
0	0.78	-0.27303	-1.04152	1.07671
0	0.795	0.721408	0.537687	0.899743
0	0.81	0.332748	0.686222	0.762642
0	0.825	-1.20811	-0.75841	1.42644
0	0.84	-0.428793	-0.276196	0.510047
0	0.855	1.63476	0.520743	1.71569
0	0.87	0.610479	0.198085	0.641811
0	0.885	-1.81847	0.0157103	1.81853
0	0.9	-0.896801	-0.651705	1.10859
0	0.915	1.65706	-0.45106	1.71735
0	0.93	0.873373	1.34815	1.60633
0	0.945	-1.18981	0.414566	1.25996
0	0.96	-0.0518801	-1.87085	1.87157
0	0.975	0.297782	0.0891031	0.310827
0	0.99	-0.803666	1.57933	1.77205
0	1.005	-0.705396	-0.655247	0.962773
0	1.02	1.21517	-1.01057	1.58047
0	1.035	2.75378	0.341815	2.77491
0	1.05	-1.49344	0.907863	1.74774
0	1.065	-4.22218	-0.688908	4.27801
0	1.08	1.0227	-0.046498	1.02375
0	1.095	2.96251	1.45986	3.30267
0	1.11	-0.311036	-0.57439	0.653197
0	1.125	-1.07781	-2.0187	2.28841
0	1.14	-0.331762	0.586966	0.674236
0	1.155	1.23825	3.14526	3.38023
0	1.17	-0.625924	-0.318344	0.702228
0	1.185	-1.50585	-2.61111	3.01421
0	1.2	0.479413	0.881956	1.00383
0	1.215	1.83793	0.0856117	1.83992
0	1.23	-0.720474	0.107612	0.728467
0	1.245	-1.33321	-0.007399	1.33323
0	1.26	2.94388	-0.428109	2.97484
0	1.275	-0.102029	1.94887	1.95154
0	1.29	-1.58904	-0.149688	1.59608
0	1.305	0.468024	-2.38709	2.43254
0	1.32	0.205592	0.00230703	0.205605
0	1.335	1.8672	1.47128	2.37721
0	1.35	0.721604	-0.995643	1.22964
0	1.365	1.90982	-0.199675	1.92023
0	1.38	-2.02064	3.68352	4.20134
0	1.395	-0.747015	2.68167	2.78377
0	1.41	1.40893	-3.09055	3.39656
0	1.425	-0.290568	-1.38013	1.41039
0	1.44	-1.11141	1.11523	1.57447
0	1.455	3.33652	-2.42742	4.12611
0	1.47	2.63913	1.14206	2.87564
0	1.485	2.43731	1.73027	2.98903
0.015	0	0.657026	-1.23659	1.4003
0.015	0.015	0.738342	0.498949	0.891122
0.015	0.03	-4.15924	2.32998	4.7674
0.015	0.045	-4.86564	-0.344334	4.87781
0.015	0.06	-1.96387	4.29574	4.72336
0.015	0.075	1.1245	1.0882	1.56483
0.015	0.09	2.26861	-1.90995	2.96555
0.015	0.105	3.35966	-0.0236031	3.35974
0.015	0.12	-1.9986	-0.958385	2.2165
0.015	0.135	-2.09585	1.23684	2.43359
0.015	0.15	2.54292	0.35542	2.56764
0.015	0.165	-0.966022	-4.12455	4.23617
0.015	0.18	-2.60666	-0.712154	2.70219
0.015	0.195	-0.295528	2.57754	2.59443
0.015	0.21	1.19563	0.66899	1.37006
0.015	0.225	-1.06429	-1.67757	1.98669
0.015	0.24	-0.643387	-0.413356	0.764729
0.015	0.255	1.88283	3.19572	3.70914
0.015	0.27	-0.50717	0.241525	0.561744
0.015	0.285	-1.18496	-2.2231	2.51919
0.015	0.3	1.02508	-0.771958	1.28324
0.015	0.315	-0.270654	1.32093	1.34837
0.015	0.33	-1.46278	1.07778	1.81696
0.015	0.345	1.14287	-2.10746	2.39741
0.015	0.36	1.22135	-0.0549449	1.22259
0.015	0.375	-1.4271	1.63394	2.16942
0.015	0.39	-0.865453	-0.628967	1.06986
0.015	0.405	1.84431	-0.485926	1.90725
0.015	0.42	0.827336	0.0816902	0.83136
0.015	0.435	-1.92747	0.319816	1.95382
0.015	0.45	-0.336679	0.0368218	0.338687
0.015	0.465	2.22716	-0.117128	2.23023
0.015	0.48	-0.0243661	0.482757	0.483371
0.015	0.495	-1.78117	0.340243	1.81338
0.015	0.51	0.629409	-1.13773	1.30022
0.015	0.525	1.25162	-0.276212	1.28174
0.015	0.54	-0.793686	1.75828	1.92912
0.015	0.555	-1.06752	-0.130898	1.07552
0.015	0.57	0.345416	-1.64751	1.68333
0.015	0.585	1.37706	0.404203	1.43515
0.015	0.6	-0.536354	1.69098	1.774
0.015	0.615	-1.76722	-0.409271	1.81399
0.015	0.63	1.14334	-1.69273	2.04268
0.015	0.645	1.81247	0.643309	1.92325
0.015	0.66	-1.70452	1.01484	1.98376
0.015	0.675	-1.62231	-0.923469	1.86673
0.015	0.69	1.70129	-0.167879	1.70955
0.015	0.705	1.14927	1.00594	1.52733
0.015	0.72	-1.03994	-0.216634	1.06226
0.015	0.735	-0.560057	-1.07573	1.21279
0.015	0.75	0.438175	0.160891	0.466779
0.015	0.765	0.19387	1.19186	1.20752
0.015	0.78	-0.415002	-0.262968	0.491304
0.015	0.795	-0.204348	-1.08487	1.10394
0.015	0.81	0.887031	0.657459	1.10412
0.015	0.825	0.33324	0.677085	0.754647
0.015	0.84	-1.35882	-0.763374	1.55857
0.015	0.855	-0.487492	-0.334775	0.591373
0.015	0.87	1.6068	0.394748	1.65457
0.015	0.885	0.615374	0.216036	0.652194
0.015	0.9	-1.45244	0.128836	1.45814
0.015	0.915	-0.859067	-0.488661	0.988324
0.015	0.93	0.951	-0.308424	0.999763
0.015	0.945	0.516775	0.97092	1.09988
0.015	0.96	-0.239941	0.0658783	0.248821
0.015	0.975	0.563304	-1.41339	1.5215
0.015	0.99	-0.0836864	0.342759	0.352827
0.015	1.005	-1.02163	1.26858	1.62881
0.015	1.02	-1.15249	-0.0698564	1.15461
0.015	1.035	0.791652	-0.429652	0.90073
0.015	1.05	2.82769	-0.187838	2.83393
0.015	1.065	-0.915043	0.278361	0.956446
0.015	1.08	-3.20629	-0.309563	3.2212
0.015	1.095	1.59101	0.703086	1.73943
0.015	1.11	1.8179	1.26447	2.21442
0.015	1.125	-0.945046	-1.06023	1.42028
0.015	1.14	-1.12392	-2.48884	2.73085
0.015	1.155	0.472566	0.346317	0.585879
0.015	1.17	1.77017	3.09257	3.56335
0.015	1.185	-0.30639	-0.461601	0.554031
0.015	1.2	-1.00436	-2.65754	2.841
0.015	1.215	0.259314	1.23168	1.25868
0.015	1.23	0.693504	1.00603	1.2219
0.015	1.245	-1.67385	-0.368605	1.71396
0.015	1.26	0.0443384	-1.81748	1.81802
0.015	1.275	1.32843	-0.189471	1.34187
0.015	1.29	-0.280913	1.35071	1.37961
0.015	1.305	1.03751	-0.357922	1.09751
0.015	1.32	-1.78075	-0.169333	1.78878
0.015	1.335	-2.14496	1.71253	2.74474
0.015	1.35	1.18319	-0.748386	1.40001
0.015	1.365	0.384065	-0.924165	1.00079
0.015	1.38	-1.65151	-0.473985	1.71818
0.015	1.395	-2.34882	-3.37633	4.11297
0.015	1.41	1.95121	-2.43719	3.12204
0.015	1.425	-0.708403	1.58754	1.73843
0.015	1.44	0.409404	-2.22224	2.25963
0.015	1.455	-3.45971	1.66569	3.83981
0.015	1.47	-0.939274	-2.78168	2.93598
0.015	1.485	-1.41811	-1.02696	1.75091
0.03	0	0.0500779	-0.631755	0.633737
0.03	0.015	-0.0519165	2.12618	2.12681
0.03	0.03	-4.29517	1.95271	4.71822
0.03	0.045	-4.701	-1.6018	4.9664
0.03	0.06	-4.28025	4.27396	6.04874
0.03	0.075	-0.283506	2.27209	2.28971
0.03	0.09	0.0422601	-0.924493	0.925459
0.03	0.105	-2.62308	0.853759	2.75852
0.03	0.12	0.245519	0.990395	1.02037
0.03	0.135	0.423154	-0.484573	0.643327
0.03	0.15	0.915441	2.26518	2.44317
0.03	0.165	2.49784	0.0609187	2.49859
0.03	0.18	-1.55083	-3.09195	3.45908
0.03	0.195	-1.14292	-1.21103	1.66519
0.03	0.21	0.302883	2.35427	2.37367
0.03	0.225	1.32739	0.954085	1.6347
0.03	0.24	-1.1794	-2.27001	2.55811
0.03	0.255	-0.172395	-0.397966	0.433702
0.03	0.27	1.61685	1.75048	2.38294
0.03	0.285	-0.91392	0.330688	0.971907
0.03	0.3	-0.0905081	-1.33154	1.33461
