Time   0.037128
x	y	imag	real	abs
-0.25	-0.25	7.67487e-05	1.51159e-05	7.82232e-05
-0.25	-0.245	1.70772e-05	-3.59479e-06	1.74514e-05
-0.25	-0.24	-2.91835e-05	-1.38716e-05	3.23125e-05
-0.25	-0.235	-1.39174e-05	1.23235e-05	1.85893e-05
-0.25	-0.23	3.26919e-05	-2.11418e-05	3.89325e-05
-0.25	-0.225	-3.70985e-05	-1.47748e-05	3.99324e-05
-0.25	-0.22	-5.86287e-05	-4.09064e-06	5.87712e-05
-0.25	-0.215	-4.63815e-05	2.62384e-05	5.32888e-05
-0.25	-0.21	2.77294e-05	3.36056e-05	4.3569e-05
-0.25	-0.205	1.72117e-05	2.49339e-05	3.02975e-05
-0.25	-0.2	1.85103e-05	-2.30288e-05	2.95459e-05
-0.25	-0.195	3.39453e-05	4.36028e-06	3.42242e-05
-0.25	-0.19	-6.8352e-05	3.74688e-06	6.84547e-05
-0.25	-0.185	-6.21711e-05	-3.32799e-05	7.05181e-05
-0.25	-0.18	5.00762e-06	-2.5075e-06	5.60034e-06
-0.25	-0.175	-3.98654e-05	3.95661e-05	5.61669e-05
-0.25	-0.17	-8.34764e-05	2.39991e-05	8.68577e-05
-0.25	-0.165	-1.79365e-05	1.44259e-05	2.30179e-05
-0.25	-0.16	6.32306e-05	5.43844e-05	8.34013e-05
-0.25	-0.155	7.44956e-05	8.27891e-05	0.000111372
-0.25	-0.15	2.84568e-05	6.26338e-05	6.87952e-05
-0.25	-0.145	-2.49736e-05	5.37914e-05	5.93059e-05
-0.25	-0.14	-1.91992e-05	3.63698e-05	4.11263e-05
-0.25	-0.135	1.92857e-05	-5.04595e-06	1.99349e-05
-0.25	-0.13	4.1447e-05	-4.42218e-05	6.06088e-05
-0.25	-0.125	4.18079e-05	-6.30266e-05	7.56323e-05
-0.25	-0.12	2.53813e-05	-5.68037e-05	6.22164e-05
-0.25	-0.115	3.34754e-06	-3.42463e-05	3.44095e-05
-0.25	-0.11	-9.5324e-06	-1.03846e-05	1.40963e-05
-0.25	-0.105	-1.16054e-05	4.78111e-06	1.25516e-05
-0.25	-0.1	-8.29617e-06	9.25393e-06	1.24283e-05
-0.25	-0.095	-4.24024e-06	7.38931e-06	8.51948e-06
-0.25	-0.09	-1.54543e-06	4.26833e-06	4.53949e-06
-0.25	-0.085	-2.38469e-07	2.07605e-06	2.0897e-06
-0.25	-0.08	1.94633e-07	9.46897e-07	9.66693e-07
-0.25	-0.075	2.31386e-07	4.38824e-07	4.96091e-07
-0.25	-0.07	1.57254e-07	2.09638e-07	2.62063e-07
-0.25	-0.065	8.91937e-08	1.00283e-07	1.34209e-07
-0.25	-0.06	4.66981e-08	4.63321e-08	6.57828e-08
-0.25	-0.055	2.21468e-08	1.97363e-08	2.96648e-08
-0.25	-0.05	9.48762e-09	7.72e-09	1.22317e-08
-0.25	-0.045	3.54738e-09	2.56557e-09	4.37791e-09
-0.25	-0.04	1.08024e-09	7.3899e-10	1.30883e-09
-0.25	-0.035	3.08386e-10	1.98988e-10	3.67013e-10
-0.25	-0.03	7.27225e-11	4.7885e-11	8.7072e-11
-0.25	-0.025	1.05831e-11	1.62431e-11	1.93866e-11
-0.25	-0.02	6.8795e-12	4.25231e-13	6.89263e-12
-0.25	-0.015	1.48649e-12	1.03641e-12	1.81212e-12
-0.25	-0.01	1.6912e-12	1.21173e-12	2.0805e-12
-0.25	-0.005	3.38787e-13	-8.44277e-13	9.09714e-13
-0.25	0	-1.57267e-12	-1.1272e-12	1.93491e-12
-0.25	0.005	-1.30941e-13	-4.3978e-13	4.5886e-13
-0.25	0.01	2.2038e-13	1.60729e-12	1.62233e-12
-0.25	0.015	-2.26216e-12	2.27291e-12	3.20679e-12
-0.25	0.02	-6.37769e-12	1.35906e-12	6.52089e-12
-0.25	0.025	-2.07147e-11	9.64857e-12	2.28515e-11
-0.25	0.03	-5.02176e-11	4.41109e-11	6.684e-11
-0.25	0.035	-1.36213e-10	1.19646e-10	1.81299e-10
-0.25	0.04	-3.46117e-10	2.78165e-10	4.44041e-10
-0.25	0.045	-7.24092e-10	6.13152e-10	9.48823e-10
-0.25	0.05	-1.36732e-09	1.11339e-09	1.7633e-09
-0.25	0.055	-2.23105e-09	1.33961e-09	2.60234e-09
-0.25	0.06	-2.96158e-09	7.4912e-11	2.96252e-09
-0.25	0.065	-4.01951e-09	-6.77956e-09	7.88156e-09
-0.25	0.07	-6.69144e-09	-2.72287e-08	2.80389e-08
-0.25	0.075	-1.28498e-08	-7.10936e-08	7.22455e-08
-0.25	0.08	-2.29972e-08	-1.38237e-07	1.40137e-07
-0.25	0.085	-3.43445e-08	-2.03813e-07	2.06686e-07
-0.25	0.09	-5.81568e-08	-2.2902e-07	2.36288e-07
-0.25	0.095	-1.53546e-07	-1.92069e-07	2.459e-07
-0.25	0.1	-4.04695e-07	-1.29287e-07	4.24845e-07
-0.25	0.105	-6.86297e-07	-2.21962e-07	7.21298e-07
-0.25	0.11	-6.082e-07	-5.83882e-07	8.43104e-07
-0.25	0.115	1.2779e-07	-6.98702e-07	7.10292e-07
-0.25	0.12	1.22306e-06	2.09568e-07	1.24088e-06
-0.25	0.125	1.96338e-06	1.67974e-06	2.58387e-06
-0.25	0.13	2.13767e-06	2.45591e-06	3.25594e-06
-0.25	0.135	1.45395e-06	2.39981e-06	2.8059e-06
-0.25	0.14	-3.24369e-07	1.69412e-06	1.72489e-06
-0.25	0.145	-1.5578e-06	-7.83752e-07	1.74385e-06
