Time   0.027804
x	y	imag	real	abs
-0.25	-0.25	-2.12481e-05	-5.26984e-05	5.68208e-05
-0.25	-0.245	-2.13798e-05	-5.88768e-05	6.26384e-05
-0.25	-0.24	3.47605e-05	1.79695e-05	3.91305e-05
-0.25	-0.235	3.80568e-05	1.56251e-05	4.11396e-05
-0.25	-0.23	4.75799e-05	-7.36103e-06	4.8146e-05
-0.25	-0.225	6.2875e-05	3.14367e-05	7.02961e-05
-0.25	-0.22	2.00053e-05	3.65608e-05	4.16762e-05
-0.25	-0.215	-1.02692e-05	-2.08861e-06	1.04795e-05
-0.25	-0.21	3.65424e-05	-3.01224e-05	4.73572e-05
-0.25	-0.205	4.78024e-05	-4.31893e-05	6.44235e-05
-0.25	-0.2	-2.70097e-05	-3.93145e-05	4.76986e-05
-0.25	-0.195	1.52277e-05	-3.4386e-05	3.76069e-05
-0.25	-0.19	4.83491e-05	1.80613e-05	5.16124e-05
-0.25	-0.185	-8.1519e-06	1.05787e-06	8.22025e-06
-0.25	-0.18	-2.23301e-05	1.20353e-05	2.53669e-05
-0.25	-0.175	-1.48196e-05	6.39713e-05	6.56654e-05
-0.25	-0.17	-4.89418e-05	6.54283e-05	8.17078e-05
-0.25	-0.165	-5.90921e-05	4.00969e-05	7.14118e-05
-0.25	-0.16	-2.53719e-05	3.13897e-05	4.03615e-05
-0.25	-0.155	-1.99908e-05	6.30604e-06	2.09619e-05
-0.25	-0.15	-3.68397e-05	-1.63689e-05	4.03126e-05
-0.25	-0.145	-8.74396e-06	3.17518e-07	8.74972e-06
-0.25	-0.14	3.04168e-05	2.19215e-05	3.74931e-05
-0.25	-0.135	3.40725e-05	1.27842e-05	3.63919e-05
-0.25	-0.13	6.84567e-06	-8.89473e-06	1.12241e-05
-0.25	-0.125	-1.46546e-05	-1.63619e-05	2.19652e-05
-0.25	-0.12	-1.40108e-05	-1.22558e-05	1.86148e-05
-0.25	-0.115	-1.27428e-06	-5.6917e-06	5.8326e-06
-0.25	-0.11	7.19892e-06	3.80516e-08	7.19902e-06
-0.25	-0.105	7.87963e-06	2.80553e-06	8.36418e-06
-0.25	-0.1	5.41929e-06	2.46735e-06	5.95454e-06
-0.25	-0.095	3.25497e-06	1.10506e-06	3.43744e-06
-0.25	-0.09	1.97314e-06	2.42936e-07	1.98804e-06
-0.25	-0.085	1.20688e-06	4.7433e-08	1.20781e-06
-0.25	-0.08	6.91612e-07	1.16117e-07	7.01292e-07
-0.25	-0.075	3.35246e-07	1.51357e-07	3.6783e-07
-0.25	-0.07	1.22957e-07	1.16335e-07	1.6927e-07
-0.25	-0.065	2.61789e-08	6.79898e-08	7.28557e-08
-0.25	-0.06	-4.8254e-09	3.29256e-08	3.32773e-08
-0.25	-0.055	-8.11069e-09	1.42289e-08	1.63782e-08
-0.25	-0.05	-5.06907e-09	5.50616e-09	7.4842e-09
-0.25	-0.045	-2.20591e-09	1.89849e-09	2.91038e-09
-0.25	-0.04	-8.03728e-10	6.20449e-10	1.01535e-09
-0.25	-0.035	-2.34029e-10	1.56885e-10	2.81749e-10
-0.25	-0.03	-5.05298e-11	4.89299e-11	7.03377e-11
-0.25	-0.025	-5.53967e-12	6.63907e-12	8.64669e-12
-0.25	-0.02	-7.59182e-12	-5.923e-13	7.61489e-12
-0.25	-0.015	6.96351e-13	3.80063e-12	3.8639e-12
-0.25	-0.01	4.1768e-12	4.51509e-13	4.20114e-12
-0.25	-0.005	8.48844e-13	-1.27139e-12	1.52871e-12
-0.25	0	-2.34851e-12	-5.15886e-13	2.40451e-12
-0.25	0.005	-8.08731e-13	-5.86997e-13	9.99305e-13
-0.25	0.01	1.05743e-12	1.5042e-13	1.06807e-12
-0.25	0.015	-1.64069e-13	-1.32272e-12	1.33286e-12
