Time   0.00924
x	y	imag	real	abs
-0.25	-0.25	-1.76729e-15	8.56625e-15	8.74665e-15
-0.25	-0.245	-5.54481e-15	5.44594e-15	7.77195e-15
-0.25	-0.24	-5.10589e-15	-3.93009e-16	5.12099e-15
-0.25	-0.235	-1.14031e-15	-3.24062e-15	3.43539e-15
-0.25	-0.23	-3.48485e-15	2.54016e-15	4.31238e-15
-0.25	-0.225	-7.14483e-15	2.21562e-15	7.48048e-15
-0.25	-0.22	3.1956e-15	-7.33595e-15	8.00175e-15
-0.25	-0.215	1.17777e-14	-6.4027e-15	1.34055e-14
-0.25	-0.21	-2.75729e-15	-6.76542e-16	2.83908e-15
-0.25	-0.205	-1.19162e-14	-2.76295e-15	1.22323e-14
-0.25	-0.2	6.87964e-15	4.3604e-15	8.14509e-15
-0.25	-0.195	1.63008e-14	9.63526e-15	1.89355e-14
-0.25	-0.19	-1.07547e-15	-6.89697e-15	6.98032e-15
-0.25	-0.185	-9.628e-15	-6.37949e-15	1.15497e-14
-0.25	-0.18	2.95985e-15	1.08303e-14	1.12275e-14
-0.25	-0.175	1.53097e-14	-1.1001e-15	1.53492e-14
-0.25	-0.17	1.18617e-14	-3.97392e-15	1.25097e-14
-0.25	-0.165	-3.12306e-15	1.89982e-14	1.92531e-14
-0.25	-0.16	-4.06317e-15	1.25789e-14	1.32189e-14
-0.25	-0.155	7.94436e-15	7.24255e-16	7.97731e-15
-0.25	-0.15	1.41056e-15	2.80396e-15	3.13876e-15
-0.25	-0.145	-1.19592e-14	-8.08086e-15	1.44334e-14
-0.25	-0.14	-6.70139e-15	-5.19637e-15	8.48003e-15
-0.25	-0.135	5.73848e-15	-2.90828e-15	6.43337e-15
-0.25	-0.13	1.22742e-14	-7.1161e-15	1.41878e-14
-0.25	-0.125	5.07107e-15	9.47389e-15	1.07457e-14
-0.25	-0.12	-6.23071e-15	1.66722e-15	6.44992e-15
-0.25	-0.115	-3.45907e-15	-4.59885e-15	5.75453e-15
-0.25	-0.11	-8.42678e-16	9.19853e-15	9.23704e-15
-0.25	-0.105	-6.54954e-15	-4.01104e-15	7.68016e-15
